ligand,AK1,cc93,Fent2 436L,iCytBrEtSnFR,iCytSnFR,iEscSnFR,iFloxSnFR,iLevaphenolSnFR1.0,L194,Tap1.0,V4.8.1.2,v4.6,V6,V7,V7.1,V7.1.2,V8,V9
DEET,,,,,,,,,,,,,,,,,,
uric acid,,,,,,,,,,,,,,,,,,
sodium L-lactate,,,,,,,,,,,,,,,,,,
creatinine,,,,,,,,,,,,,,,,,,
taurine,,,,,,,,,,,,,,,,,,
D-(+)-glucosamine hydrochloride,,,,,,,,,,,,,,,,,,
L-carnosine,,,,,,,,,,,,,,,,,,
l-carnitine,,,,,,,,,,,,,,,,,,
D-neopterin,,0.0038897924740466,0.023742801465111,0.0407977091647364,0.0193201442816484,0.0079788848358198,0.0289126275894386,0.0269627193236608,0.0363444441921332,0.1159526382075057,0.0567676086611569,0.0340078869836863,0.0541485284768134,0.0103013203950314,0.0110346778868221,0.0369849129832476,0.0245111590691908,0.0222206403349129
aspartame,0.1120595391546819,0.0040302994672695,0.0265304068653239,0.0121379451464959,0.0206417211148717,0.0031168303522837,0.0289798827304009,0.031515958088608,0.0390877010337064,0.1137709460575167,0.0342295429581429,0.0305947243818404,0.050984273295219,0.0101863016939099,0.009630663835973,0.0276381907907244,0.0128700782036896,0.0221717089323067
l-thyroxine,0.1005060165177122,0.0040729196290776,0.0246777487570622,0.012158414101628,0.0197072762811489,0.0044687602971598,0.0288489771703876,0.0259604335609992,0.0397571128782799,0.1149214988180945,0.0301879815332769,0.0310749993435284,0.0540983967988347,0.0101688573219271,0.0095230114314648,0.0275900704379195,0.0125777706523711,0.0220640582238126
milirinone,0.1314097973751311,0.0038700118774469,0.0241599287067584,0.0122943394749719,0.0198891952964989,0.0017489651811522,0.029995511930077,0.0279158779497814,0.0372175742102637,0.1143750600237336,0.02656821477884,0.0330600662513486,0.0513025898222442,0.010174675435733,0.0096076970085308,0.0284645394363588,0.012109052874929,0.0221368239552785
T3,0.0718009097027813,0.0182973663120851,0.0271313590940123,0.0302126566370148,0.029843639620109,0.0535510708441559,0.0337379154678529,0.0393560279419424,0.0408655160043484,0.1235894158925768,0.028185520534813,0.039039391583883,0.0492485131216344,0.030982568857149,0.0446821253528185,0.220786999657184,0.054031801619223,0.049477490272142
bilirubin,0.0220664782876665,0.089646490058187,0.4494224827236083,0.0718944866775037,0.2620441758716623,0.0641572279806784,0.05532259543827,0.1718932187967027,0.0081469966824638,0.5451602052719106,0.0581186379800849,0.0216269557811613,0.0397668599947625,0.0639093906058863,0.160983044229177,0.0874348175130835,0.2501422704130154,0.1088791279032613
digoxin,0.0205386504359284,0.0931444646736614,0.4295315231319823,0.0784307215218166,0.0820643597832296,0.0839892164361186,0.0362931088772925,0.2188226679846104,0.0322573623697895,0.6117929230763898,0.0644005916651652,0.02947191247629,0.0334984906399704,0.0734856384333547,0.0566883406216394,0.0625385554166097,0.2946549076462779,0.0437070113629097
folic acid,1.359283495656597,0.1514544858777906,0.4423516986474835,0.0764329568195388,0.1107207206797283,0.0919578557786903,0.0583477761560824,0.0838278287003687,0.0163868943880102,0.7928832769670651,0.0784829788336539,0.053200808546008,0.0350302909124007,0.0499014505887249,0.0646244957877745,0.1091141704858954,0.2268121001188041,0.0235850919937053
theobromine,,0.108991175208893,0.4309297908852915,0.0764748858421479,0.1025123637329061,0.0763910210632658,0.0088355048081954,0.2023335177444548,0.0271842569050698,0.5109637596869441,0.0524555807809652,0.0136469803761327,0.0773383679873384,0.1232806662818361,0.0835367035613851,0.1041664747850934,0.2264517007065865,0.0356898958280061
atorvastatin (calcium salt hydrate),0.1051165832113568,0.1095910158086822,0.4283596896279126,0.076630706046446,0.0543846661222935,0.1162947969990968,0.0522135783614793,0.0802582128148692,0.027437377801934,0.7585427814658326,0.081004466628011,0.0206341812621434,0.057551869790276,0.075563407311105,0.0988697773650367,0.0849667021916927,0.2249616197974512,0.0642813411846679
(-)-epinepherine (+)-bitartrate salt,0.0968804014024916,0.254161748009056,0.0306301519826181,0.1297467974484336,1.2779333243598314,0.3790855626272808,0.0917961580370521,0.1612364406265405,0.1439265354859123,0.6263959658194289,0.1494644397054312,0.0361354610252547,0.0634832942545638,0.241714942556595,0.1552555472803113,0.0994128015481653,1.380441973840624,0.2300753256531135
dopamine,0.0405632023080485,0.114674070495989,0.3160457481719269,0.1680879491787876,1.2025084457584976,0.3511702904151612,0.0356617642855848,0.1693101112339726,0.1679324252637294,0.6493210249144002,0.2383869893478092,0.0451585768037246,0.0662502414724104,0.2358408316655912,0.2103586515761388,0.1477726110118677,1.4197422837119378,0.1190227749346648
L-dopa,0.0781571683141964,0.7377281959355612,0.2124271518202137,0.4291540776059195,0.2893103966396412,0.2430457001858919,0.0432176327974106,0.6770117232558085,0.1093043409999126,0.9672683254915012,0.1768176523378429,0.0953352948399735,0.155720297876816,0.4117070084514918,0.4516752023156173,0.2732479476022306,1.846509739698164,0.697786954353788
carbadopa,0.5983270538738421,0.6769456265294531,0.2325765465842693,0.1484422841468192,0.3192296135810801,0.8654594313544968,0.043268216805847,0.8184642456438759,0.0832927275202072,1.073275987071861,0.0818213142427718,0.1333334388466662,0.091346293422192,0.4620106195858802,1.0611928716113734,0.4526038491506717,1.8077863617821648,1.0080374865393888
(–)-Norepinephrine (bitartrate hydrate),0.0127561641641448,0.4525997467696401,0.1662224143125725,0.1991179689916253,0.4233009493974597,0.9184510427354778,0.0595386996786325,0.6650277429076075,0.1206994310782386,0.8422250037648549,0.1700121813988149,0.074124571011693,0.0997627490858776,0.2634651806264041,1.1503286218977935,0.3761609662683134,1.9799453277109431,1.0840385097321568
