ligand,AK1,cc93,Fent2 436L,iCytBrEtSnFR,iCytSnFR,iEscSnFR,iFloxSnFR,iLevaphenolSnFR1.0,L194,Tap1.0,V4.8.1.2,v4.6,V6,V7,V7.1,V7.1.2,V8,V9
corticosterone,0.05043478261,0.03666921313,-0.05131428572,-0.07417893545,-0.03406503325,-0.1668865435,-0.05829846583,0.03527068198,0.1143274142,-0.2171372931,0.1016260163,0.06006389776,0.002184996353,-0.05705059204,-0.0002418379734,0.1244990649,0.1967213115,-0.02797408716
progesterone,0.006260869569,-0.0473644003,-0.04617142857,-0.4007172518,-0.01903634211,-0.2051451187,-0.07112970711,0.04054370752,-0.1680856239,-0.2259006816,0.03658536586,0.05654952077,0.01820830299,-0.1054897739,0.01934703749,0.2246860807,-0.05620608898,-0.2897526502
mono(2‐ethylhexyl) phthalate (mehp),0.05043478261,0.3177998472,0.03645714286,-0.008965647414,0.05911285181,-0.00593667546,0.06192468619,0.1161237403,0.3821454634,0.04576436223,0.5514905149,0.1709265176,0.3619810634,0.2163616792,0.4045949214,0.3192626236,0.7517564403,0.1319199058
Fipronil,0.2271304348,0.6890756303,0.03611428572,-0.1545866365,0.04763639676,-0.01451187335,0.05969316597,0.009257089291,-0.3045487716,0.03115871471,0.620596206,0.2945686901,0.7268754552,0.7190527449,0.6984280532,0.8218006946,0.7213114754,0.3669022379
Acetaminophen,-0.032,-0.01451489687,0.02651428572,-0.2506606267,0.02031150378,-0.2018469657,0.0529986053,0.1540895243,0.04864996351,0.04576436223,0.07723577236,0.06134185304,0.05389657684,0.01399354145,0.09480048368,0.07560780123,0.1053864169,0.02767962309
valproic acid sodium salt,-0.00542344597,0.1382799326,0.0835317031,-0.03135011442,-0.01980668674,0.1405353729,0.08767074369,0.1957234498,0.1407122905,0.1598272138,0.1071682044,0.1030709495,0.1363912515,0.09426888057,0.08540925268,0.1622047244,0.07421150282,0.09502982108
Histamine dihydrochloride,-0.07551105549,0.08010118042,0.0978143259,0.03918764302,0.110204405,0.190248566,0.01615927149,0.1076265146,0.07472067038,0.1274298056,0.03477643716,0.0458877515,0.04890643984,0.05088377073,0.04863582442,0.1515748031,0.02968460104,0.06163021868
Caffeine,0.7872340426,0.07251264755,0.1305994373,-0.09536613272,-0.05046743781,-0.05640535373,0.2896169985,0.1623663578,0.07157821229,0.1306695464,0.06671398154,0.08365690081,0.07715674362,0.002678093192,-0.03321470938,0.02637795275,0.06307977735,0.02465208747
Nicotine,0.0546516479,7.850758853,-0.1261631681,3.421395881,4.356599588,12.14435946,-0.1525756629,1.32002851,-0.1180167598,-0.1414686825,0.01774308021,-0.1221320155,0.1208991495,10.82806642,8.976275208,7.376377953,7.493506493,7.193041749
phthalic acid,-0.2065199674,-0.1854823661,-0.1274737892,-0.01527334175,-0.02112689744,-0.1588297818,-0.2377975294,-0.0022081469,-0.134930421,0.03468208091,-0.2067126725,-0.1540260037,-0.2806163828,-0.1606099374,-0.1558137817,-0.2559343341,-0.1727081529,-0.09281675208
methylsilanetriol (MST),0.007008964954,0.02908325114,0.01809831707,0.1438015301,0.1099784261,-0.02920483879,-0.01589334137,0.1577662851,-0.1587105866,-0.09537572256,-0.1850690088,-0.03872034672,-0.1755879968,0.01345043394,0.01937516926,-0.1545515048,0.2218235804,0.1369941686
glyburide (potassium salt),0.02363488183,-0.007783968224,0.01202525909,0.1004326673,0.0995704651,0.007035481096,0.01562970774,0.1677610553,0.0584815924,0.00722543354,-0.02885821831,0.01841925183,-0.09894566099,-0.004702465336,-0.01467293631,-0.02654736375,0.07039465545,0.09387701007
D-neopterin,0.02722086389,0.04579745688,0.05861558449,0.1481746268,0.1503274961,0.007136711039,0.02240885809,0.1722935673,0.0125066056,-0.1690751445,-0.01662484317,0.03330291971,-0.06569343066,0.04042045572,0.02447130653,0.0306884567,0.1208709637,0.1098250574
